online_order,book_table,votes,location,approx_cost(for two people),listed_in(type),listed_in(city),cuisines_counts,rest_type_counts,Target
Yes,Yes,775,Banashankari,800.0,Buffet,Banashankari,3,1,1
Yes,No,787,Banashankari,800.0,Buffet,Banashankari,3,1,1
Yes,No,918,Banashankari,800.0,Buffet,Banashankari,3,2,1
No,No,88,Banashankari,300.0,Buffet,Banashankari,2,1,0
No,No,166,Basavanagudi,600.0,Buffet,Banashankari,2,1,1
Yes,No,286,Basavanagudi,600.0,Buffet,Banashankari,1,1,1
No,No,8,other,800.0,Buffet,Banashankari,4,1,0
Yes,Yes,2556,Banashankari,600.0,Cafes,Banashankari,3,2,1
Yes,No,324,Banashankari,700.0,Cafes,Banashankari,3,1,1
Yes,No,504,Banashankari,550.0,Cafes,Banashankari,5,1,1
Yes,No,402,Banashankari,500.0,Cafes,Banashankari,1,1,1
Yes,Yes,150,Banashankari,600.0,Cafes,Banashankari,3,1,1
Yes,Yes,164,Banashankari,500.0,Cafes,Banashankari,4,1,1
No,No,424,Banashankari,450.0,Cafes,Banashankari,2,1,1
Yes,No,918,Banashankari,800.0,Cafes,Banashankari,3,2,1
Yes,No,90,Banashankari,650.0,Cafes,Banashankari,1,1,1
Yes,No,133,Banashankari,800.0,Cafes,Banashankari,5,1,1
Yes,No,144,Banashankari,700.0,Cafes,Banashankari,3,1,1
No,No,93,Banashankari,300.0,Cafes,Banashankari,3,1,1
Yes,No,13,Banashankari,400.0,Cafes,Banashankari,4,1,0
Yes,No,62,Banashankari,400.0,Cafes,Banashankari,3,1,0
Yes,No,180,Banashankari,500.0,Cafes,Banashankari,4,1,0
No,No,28,Banashankari,900.0,Cafes,Banashankari,2,1,0
Yes,No,62,Banashankari,600.0,Cafes,Banashankari,4,2,0
No,No,31,Banashankari,300.0,Cafes,Banashankari,1,1,0
No,No,11,Banashankari,600.0,Cafes,Banashankari,2,1,0
Yes,No,75,Banashankari,200.0,Cafes,Banashankari,2,2,1
No,No,4,Banashankari,500.0,Cafes,Banashankari,3,1,0
No,No,23,Banashankari,550.0,Cafes,Banashankari,2,1,0
No,No,148,Basavanagudi,550.0,Cafes,Banashankari,4,2,1
Yes,No,219,Basavanagudi,600.0,Cafes,Banashankari,2,1,1
Yes,No,506,Banashankari,500.0,Delivery,Banashankari,4,1,0
Yes,No,35,Banashankari,500.0,Delivery,Banashankari,2,1,1
Yes,No,172,Banashankari,750.0,Delivery,Banashankari,1,1,1
Yes,No,415,Banashankari,500.0,Delivery,Banashankari,3,1,1
Yes,No,230,Banashankari,650.0,Delivery,Banashankari,1,1,1
Yes,No,91,Banashankari,400.0,Delivery,Banashankari,3,1,0
Yes,No,1647,Banashankari,600.0,Delivery,Banashankari,3,1,1
Yes,No,4884,Jayanagar,750.0,Delivery,Banashankari,4,1,1
Yes,No,17,Banashankari,150.0,Delivery,Banashankari,1,1,1
Yes,No,133,Basavanagudi,200.0,Delivery,Banashankari,2,1,1
No,No,28,Banashankari,300.0,Delivery,Banashankari,1,1,1
Yes,No,286,Banashankari,500.0,Delivery,Banashankari,2,1,1
Yes,No,540,Banashankari,800.0,Delivery,Banashankari,2,1,1
Yes,Yes,2556,Banashankari,600.0,Delivery,Banashankari,3,2,1
No,No,36,Banashankari,400.0,Delivery,Banashankari,3,1,1
Yes,No,244,other,300.0,Delivery,Banashankari,2,1,0
Yes,No,804,other,450.0,Delivery,Banashankari,4,1,1
Yes,No,679,other,850.0,Delivery,Banashankari,2,1,0
Yes,No,245,other,300.0,Delivery,Banashankari,4,1,0
No,No,21,Banashankari,450.0,Delivery,Banashankari,1,1,0
Yes,No,28,other,150.0,Delivery,Banashankari,3,1,1
No,No,345,Banashankari,400.0,Delivery,Banashankari,2,1,1
Yes,No,618,Jayanagar,750.0,Delivery,Banashankari,5,1,1
No,No,1047,Banashankari,450.0,Delivery,Banashankari,5,1,1
Yes,No,627,Banashankari,450.0,Delivery,Banashankari,8,1,1
Yes,No,104,Banashankari,300.0,Delivery,Banashankari,2,1,1
Yes,Yes,354,Banashankari,800.0,Delivery,Banashankari,7,1,1
No,No,55,Banashankari,200.0,Delivery,Banashankari,2,1,0
Yes,No,17,Banashankari,400.0,Delivery,Banashankari,2,1,0
No,No,244,Banashankari,800.0,Delivery,Banashankari,3,1,1
Yes,Yes,163,other,800.0,Delivery,Banashankari,5,1,0
Yes,No,58,Basavanagudi,150.0,Delivery,Banashankari,1,1,1
No,Yes,808,Banashankari,850.0,Delivery,Banashankari,2,1,1
No,No,78,Banashankari,150.0,Delivery,Banashankari,1,2,0
Yes,No,1720,Basavanagudi,400.0,Delivery,Banashankari,4,1,1
Yes,No,34,Jayanagar,100.0,Delivery,Banashankari,1,1,0
No,No,868,Banashankari,1200.0,Delivery,Banashankari,6,1,1
No,No,39,Banashankari,300.0,Delivery,Banashankari,2,1,1
Yes,No,71,Basavanagudi,600.0,Delivery,Banashankari,3,1,0
Yes,No,6,Banashankari,500.0,Delivery,Banashankari,3,2,0
No,No,520,Banashankari,300.0,Delivery,Banashankari,3,1,1
No,No,84,Banashankari,700.0,Delivery,Banashankari,4,1,0
No,No,299,Banashankari,300.0,Delivery,Banashankari,3,1,0
